"TimeStamp","Path","Value"
"03_08_2022-17:32:46","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\bytes total/sec","2474.85684593112"
"03_08_2022-17:32:46","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\output queue length","0"
"03_08_2022-17:32:46","\\usni25pxed\logicaldisk(c:)\% free space","61.9991472229397"
"03_08_2022-17:32:46","\\usni25pxed\logicaldisk(harddiskvolume1)\avg. disk queue length","0"
"03_08_2022-17:32:46","\\usni25pxed\logicaldisk(harddiskvolume2)\avg. disk queue length","0"
"03_08_2022-17:32:46","\\usni25pxed\logicaldisk(c:)\avg. disk queue length","0.0106445082482864"
"03_08_2022-17:32:46","\\usni25pxed\logicaldisk(_total)\avg. disk queue length","0.0106445082482864"
"03_08_2022-17:32:47","\\usni25pxed\physicaldisk(0 c:)\% idle time","98.8494763817897"
"03_08_2022-17:32:47","\\usni25pxed\physicaldisk(_total)\% idle time","98.8494763817897"
"03_08_2022-17:32:47","\\usni25pxed\physicaldisk(_total)\avg. disk sec/read","0"
"03_08_2022-17:32:47","\\usni25pxed\physicaldisk(_total)\avg. disk sec/write","0.000374129032258065"
"03_08_2022-17:32:47","\\usni25pxed\memory\pages/sec","0"
"03_08_2022-17:32:47","\\usni25pxed\memory\available mbytes","20606"
"03_08_2022-17:32:47","\\usni25pxed\processor(_total)\% processor time","14.2262823340032"
"03_08_2022-17:32:47","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\bytes total/sec","38017.4168852202"
"03_08_2022-17:32:47","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\output queue length","0"
"03_08_2022-17:32:47","\\usni25pxed\logicaldisk(c:)\% free space","61.9991472229397"
"03_08_2022-17:32:47","\\usni25pxed\logicaldisk(harddiskvolume1)\avg. disk queue length","0"
"03_08_2022-17:32:47","\\usni25pxed\logicaldisk(harddiskvolume2)\avg. disk queue length","0"
"03_08_2022-17:32:47","\\usni25pxed\logicaldisk(c:)\avg. disk queue length","0.0115357693012684"
"03_08_2022-17:32:47","\\usni25pxed\logicaldisk(_total)\avg. disk queue length","0.0115357693012684"
